dataset,answer_count_bucket,count,videos,direct_accuracy,bbox_accuracy,delta,paired_delta_ci_low,paired_delta_ci_high,direct_micro_accuracy,bbox_micro_accuracy
heico,1,567,10,0.8324413266407855,0.9292146450041188,0.09677331836333325,0.05257922408042304,0.1392659573033405,0.8201058201058201,0.9329805996472663
heico,2,373,9,0.44053140486964015,0.3896472264119323,-0.050884178457707874,-0.11128968253968254,0.009476076755488524,0.45308310991957107,0.38605898123324395
heico,3,146,7,0.23769754055468342,0.1523600209314495,-0.08533751962323391,-0.158171768707483,-0.009963369963369976,0.2534246575342466,0.1780821917808219
heico,4,98,6,0.22301169040299473,0.0831608005521049,-0.13985088985088984,-0.30976430976430974,-0.021164021164021163,0.20408163265306123,0.10204081632653061
heico,5,55,5,0.12352941176470589,0.06666666666666667,-0.05686274509803922,-0.12352941176470589,0.0,0.09090909090909091,0.03636363636363636
heico,6+,87,1,0.0,0.04597701149425287,0.04597701149425287,0.04597701149425287,0.04597701149425287,0.0,0.04597701149425287
lapchole,1,170,28,0.735705266955267,0.9553571428571429,0.21965187590187596,0.1463293650793651,0.2971331619769118,0.7,0.9470588235294117
lapchole,2,154,28,0.5102465986394557,0.3466978458049887,-0.16354875283446696,-0.2776360544217687,-0.05583191609977334,0.4935064935064935,0.34415584415584416
lapchole,3,130,28,0.2986111111111111,0.28015873015873016,-0.018452380952380942,-0.1309672619047619,0.10416666666666666,0.2923076923076923,0.24615384615384617
lapchole,4,103,27,0.38271604938271603,0.1111111111111111,-0.2716049382716049,-0.39507716049382713,-0.15123456790123455,0.36893203883495146,0.10679611650485436
lapchole,5,96,27,0.2879629629629629,0.11049382716049383,-0.1774691358024691,-0.28920524691358024,-0.0728317901234569,0.3229166666666667,0.13541666666666666
lapchole,6+,115,20,0.018333333333333333,0.009821428571428571,-0.008511904761904762,-0.03875446428571428,0.01875,0.017391304347826087,0.017391304347826087
