dataset,level,name,accuracy_direct,ci_low_direct,ci_high_direct,count_direct,accuracy_bbox_evaluator,ci_low_bbox_evaluator,ci_high_bbox_evaluator,count_bbox_evaluator,delta_evaluator,accuracy_bbox_isolated,delta_isolated
heico,answer_format,binary,0.7993434635539899,0.7138219554568239,0.8734913496591129,548,0.7993434635539899,0.7138219554568239,0.8734913496591129,548,0.0,0.7993434635539899,0.0
heico,answer_format,fo_class,0.7081717850989396,0.6129062741838499,0.7910899707836087,1755,0.7081717850989396,0.6129062741838499,0.7910899707836087,1755,0.0,0.7081717850989396,0.0
heico,answer_format,multiple_choice,0.900912349299446,0.7467383512544803,1.0,112,0.900912349299446,0.7467383512544803,1.0,112,0.0,0.900912349299446,0.0
heico,answer_format,number,0.535563858076805,0.4350912096761115,0.6396428605139679,1326,0.5521487709499985,0.4344417017588385,0.6819537165674214,1326,0.016584912873193525,0.5521487709499985,0.016584912873193525
heico,answer_format,open_ended,0.773219737817361,0.6667517424426169,0.8666020190053296,259,0.7658864044840276,0.6614185840333973,0.8630665470494417,259,-0.007333333333333414,0.773219737817361,0.0
lapchole,answer_format,binary,0.870679012345679,0.789483024691358,0.9426003086419752,176,0.870679012345679,0.789483024691358,0.9426003086419752,176,0.0,0.870679012345679,0.0
lapchole,answer_format,fo_class,0.5710946790580198,0.5010489911557862,0.6442678896722317,920,0.5710946790580198,0.5010489911557862,0.6442678896722317,920,0.0,0.5710946790580198,0.0
lapchole,answer_format,multiple_choice,0.9430708180708182,0.8653426434676434,0.9940476190476192,90,0.9430708180708182,0.8653426434676434,0.9940476190476192,90,0.0,0.9430708180708182,0.0
lapchole,answer_format,number,0.4116326962443359,0.3519797106030179,0.4752524198250363,768,0.3655356975949905,0.3106338444221279,0.4230918021946974,768,-0.04609699864934541,0.3655356975949905,-0.04609699864934541
lapchole,answer_format,open_ended,0.7162691650086609,0.6399722625792742,0.7895451239207806,298,0.7162691650086609,0.6399722625792742,0.7895451239207806,298,0.0,0.7162691650086609,0.0
