dataset,level,name,accuracy_direct,ci_low_direct,ci_high_direct,count_direct,accuracy_bbox_evaluator,ci_low_bbox_evaluator,ci_high_bbox_evaluator,count_bbox_evaluator,delta_evaluator,accuracy_bbox_isolated,delta_isolated
heico,group,aggregation,0.6106749775452922,0.5084604161837933,0.700240309758836,1875,0.6231110148470614,0.5086844425789893,0.7317556323455087,1875,0.012436037301769232,0.6231110148470614,0.012436037301769232
heico,group,object_recognition,0.727588965384103,0.6395614888265168,0.8047976476344063,2125,0.7267254427305312,0.6387644301594898,0.8043679302996389,2125,-0.0008635226535718132,0.727588965384103,0.0
heico,leaf,object_aggregation,0.6106749775452922,0.5090767316356812,0.7000637332595527,1875,0.6231110148470614,0.5181070768960545,0.7419381361730798,1875,0.012436037301769232,0.6231110148470614,0.012436037301769232
heico,leaf,object_attributes,0.875,0.625,1.0,21,0.875,0.625,1.0,21,0.0,0.875,0.0
heico,leaf,object_identification,0.7034421514286683,0.6024636342869477,0.7893385684173074,1591,0.7034421514286683,0.6024636342869477,0.7893385684173074,1591,0.0,0.7034421514286683,0.0
heico,leaf,spatial_localization_camera,0.806429483362298,0.7193175761116891,0.8853937821323133,427,0.804542690909468,0.7178885624331091,0.8840270106850212,427,-0.0018867924528300772,0.806429483362298,0.0
heico,leaf,spatial_localization_situs,0.6707717569786535,0.4162927185960591,0.9063244047619048,86,0.6291050903119868,0.3849981398809524,0.8632074866584565,86,-0.04166666666666674,0.6707717569786535,0.0
lapchole,group,aggregation,0.4943997450149399,0.4353838907813314,0.5531252071030431,955,0.4571101538896394,0.4049484543476708,0.5132801824415997,955,-0.0372895911253005,0.4571101538896394,-0.0372895911253005
lapchole,group,object_recognition,0.6243051903012822,0.5726858987008157,0.6780554226127347,1296,0.6243051903012822,0.5726858987008157,0.6780554226127347,1296,0.0,0.6243051903012822,0.0
lapchole,group,temporal_grounding,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
lapchole,leaf,object_aggregation,0.4943997450149399,0.433414266867566,0.552590404625965,955,0.4571101538896394,0.4023820542695316,0.5116411866687453,955,-0.0372895911253005,0.4571101538896394,-0.0372895911253005
lapchole,leaf,object_attributes,0.6276224271759986,0.5238621931144252,0.724099729635444,192,0.6276224271759986,0.5238621931144252,0.724099729635444,192,0.0,0.6276224271759986,0.0
lapchole,leaf,object_identification,0.5579404635277565,0.4805823372236005,0.6379768871203699,866,0.5579404635277565,0.4805823372236005,0.6379768871203699,866,0.0,0.5579404635277565,0.0
lapchole,leaf,spatial_localization_camera,0.8901289886584005,0.8318465635088534,0.9421380938739132,213,0.8901289886584005,0.8318465635088534,0.9421380938739132,213,0.0,0.8901289886584005,0.0
lapchole,leaf,spatial_localization_situs,0.8095238095238095,0.5952380952380952,0.988095238095238,25,0.8095238095238095,0.5952380952380952,0.988095238095238,25,0.0,0.8095238095238095,0.0
lapchole,leaf,temporal_localization,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
